	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
Clec2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95737	0	0	0	0	0	0	0	0	0	0	0
Cltc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63738	0	0
Cmc2	0	0.95592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm2	0	0	0	0	0	0	0	0	0	0.49998	0	0.61039	0	0	0	0	0	0.43585	0	0	0	0	0	0	0	0	0	0	0.76449	0.8715	0.51885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpd	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8722	0	0	0	0	0	0
Cpne7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crem	0	0	0	0	0	0	0	0	0	0	0.99427	0	0.59878	0	0	0	0	0	0	0	0	0	0	0	0.59171	0	0	0	0	0	0	0	0	0	0	0	0.96102	0.36739	0	0	0	0	0	0	0	0
Crispld2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1577	0	0	0	0	0	0	0	0	0	0	0
Cryaa	0	0.35682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.44833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cwc25	0	0	0	0	0	0.26462	0	0	0	0	0	0	0	0.50742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7584	0	0
Cx3cl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97766	0	0	0.93027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl3	0	0.96856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66137	0	0	0	0	0	0	0	0	0	0	0
Cyfip2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.50112	0	0	0	0	0	0	0
Cytip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46289	0	0.94522	0	0	0	0	0	0	0	0	0	0.12594	0	0	0	0	0	0	0	0	0	0	0
Dars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12022	-0.6878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15753	0	0.54868	0	0	0	0	0.66112	0	0	0	0
Decr1	0	-0.2216	0	0	0	0	0	0	0	0	0	-0.25558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dennd4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgat1	0	-0.45763	0.071798	0	0	0	0	0	0	0	0.71399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39043	0	0	0	0	-0.49081	0	0	0	0	0	0	0	0	0	0	0
Dgkz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
