	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hey1	Hivep1	Jun	Junb	Jund	Kdm2b	Klf2	Klf6	Lin54	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3
Suco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37135	0	0.24419	0
Sytl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39283	0	0	0	0
Taf4b	0	0	0.91342	0	0	0	0	0	0.77504	0	0	0.5258	0	0	0	0	0	0	0	0	0	0	0
Tex2	-0.30271	0	0	0	0.80232	0	0	0	-0.27953	0	0	0	0	0	0	0	0	0	0	0	0.75883	0	0
Tgfb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21148
Tgm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98665	0.7862	0	0	0	0	0	0
Tinf2	0	0	0	0.26927	0	0	0	0	0	0	0	0	0	0	0.61017	0	0	0	0	0	0	0	0.65207
Tnfrsf1b	0	0.86719	0.73978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026691	0	0	0	0	0	0	0	0
Tnip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77664	0	0	0	0	0	0
Tpm4	0	0	0	0	0	0.94522	0.31201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf3ip3	0	0	0	0	0.15545	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46778	0	0	0	0
Trf	0	0	0	0	0	0	0	0	0	0	0	0.80189	0	0	0	0	0	0	0	0	0	0	0.4749
Tspan14	-0.34964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56516	0	0
Ulk1	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0	0	0	0	0	0
Urgcp	0	0	0	0	0	0	0	0.95977	0	0	0	0	0	0	0	0	0.73197	0	0	0	0.35904	0	0
Usp36	0	0	0	0.99677	0	0	0	0	0	0	0	0.20561	0	0	0	0	0	0	0	0	0	0	0
Usp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73892	0	0.26592	0	0
Usp9x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72585	0	0	0	0	0	0	0.79466	0
Xpo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10117	0	0	0	0	0	0	0	0
Ythdc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93565	0	0	0	0	0	0	0	0.13598	0
Zbp1	0	0	0	0	0	0	0	0	0	0	0	0	0.22912	0	0	0	-0.13598	0	0	0	0	0	0
Zcchc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053755	0	0	0	0	0	0	0	0	0
